Id,SalePrice
1461,122107.27521827052
1462,145042.29838458684
1463,181229.58217275082
1464,181229.58217275082
1465,291161.03822096775
1466,181229.58217275082
1467,145042.29838458684
1468,181229.58217275082
1469,186814.6263353361
1470,122107.27521827052
1471,186814.6263353361
1472,99734.05605666855
1473,99734.05605666855
1474,148191.82801126837
1475,186814.6263353361
1476,291161.03822096775
1477,291161.03822096775
1478,291161.03822096775
1479,291161.03822096775
1480,291161.03822096775
1481,291161.03822096775
1482,291161.03822096775
1483,145042.29838458684
1484,186814.6263353361
1485,186814.6263353361
1486,223956.46665997113
1487,291161.03822096775
1488,291161.03822096775
1489,186814.6263353361
1490,181229.58217275082
1491,186814.6263353361
1492,122107.27521827052
1493,181229.58217275082
1494,291161.03822096775
1495,291161.03822096775
1496,186814.6263353361
1497,186814.6263353361
1498,186814.6263353361
1499,186814.6263353361
1500,99734.05605666855
1501,148191.82801126837
1502,186814.6263353361
1503,291161.03822096775
1504,291161.03822096775
1505,186814.6263353361
1506,181229.58217275082
1507,148191.82801126837
1508,181229.58217275082
1509,181229.58217275082
1510,145042.29838458684
1511,145042.29838458684
1512,181229.58217275082
1513,148191.82801126837
1514,148191.82801126837
1515,148191.82801126837
1516,148191.82801126837
1517,145042.29838458684
1518,148191.82801126837
1519,186814.6263353361
1520,145042.29838458684
1521,145042.29838458684
1522,148191.82801126837
1523,122107.27521827052
1524,122107.27521827052
1525,122107.27521827052
1526,122107.27521827052
1527,99734.05605666855
1528,122107.27521827052
1529,145042.29838458684
1530,181229.58217275082
1531,148191.82801126837
1532,122107.27521827052
1533,145042.29838458684
1534,122107.27521827052
1535,148191.82801126837
1536,145042.29838458684
1537,99734.05605666855
1538,291161.03822096775
1539,291161.03822096775
1540,148191.82801126837
1541,148191.82801126837
1542,148191.82801126837
1543,223956.46665997113
1544,99734.05605666855
1545,99734.05605666855
1546,99734.05605666855
1547,148191.82801126837
1548,148191.82801126837
1549,99734.05605666855
1550,148191.82801126837
1551,145042.29838458684
1552,148191.82801126837
1553,148191.82801126837
1554,99734.05605666855
1555,148191.82801126837
1556,99734.05605666855
1557,148191.82801126837
1558,99734.05605666855
1559,148191.82801126837
1560,148191.82801126837
1561,148191.82801126837
1562,122107.27521827052
1563,122107.27521827052
1564,145042.29838458684
1565,148191.82801126837
1566,186814.6263353361
1567,99734.05605666855
1568,181229.58217275082
1569,181229.58217275082
1570,99734.05605666855
1571,148191.82801126837
1572,145042.29838458684
1573,186814.6263353361
1574,145042.29838458684
1575,186814.6263353361
1576,181229.58217275082
1577,186814.6263353361
